col1,Unnamed: 0,_RAJ2000_1,_DEJ2000_1,LAMOST_sep,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,original_index,model_prob,Halpha
545,546,64.4589390,53.4239310,2.00,14.41,14.29,13.33,12.54,12.74,11.81,11.48,11.19,545.00,1.00,1.00
397,398,64.4589367,53.4239286,2.00,14.41,14.29,13.33,12.54,12.74,11.81,11.48,11.19,397.00,1.00,1.00
555,556,62.8359500,53.2345390,2.00,14.06,14.00,12.83,12.10,12.34,11.79,11.51,11.25,555.00,1.00,1.00
315,316,309.1973900,34.1965017,2.00,15.06,14.73,13.83,13.12,13.32,12.54,12.25,12.02,315.00,1.00,1.00
251,251,63.4037767,52.7429414,2.00,14.12,13.27,12.35,11.51,11.87,11.00,10.71,10.41,251.00,1.00,1.00
160,160,63.4037800,52.7429430,2.00,14.12,13.27,12.35,11.51,11.87,11.00,10.71,10.41,160.00,1.00,1.00
409,410,88.8526670,22.9101940,2.00,16.49,16.13,13.95,13.10,12.93,11.16,10.66,10.32,409.00,1.00,1.00
163,163,66.0121810,54.3970280,2.00,14.20,13.87,12.80,12.31,12.32,11.54,11.34,11.13,163.00,0.99,1.00
192,192,88.5773330,22.9039440,2.00,16.67,16.25,15.19,14.64,14.48,13.19,12.77,12.48,192.00,0.99,1.00
495,496,80.2109090,28.3571430,2.00,16.06,15.71,14.63,14.23,14.22,13.46,13.24,13.02,495.00,0.99,1.00
952,954,102.8430914,-0.2858156,2.00,15.05,15.12,14.62,14.06,14.17,13.44,13.15,12.98,952.00,0.98,1.00
866,868,324.3077244,51.6485219,2.00,15.85,15.50,14.12,13.55,13.29,12.17,11.73,11.33,866.00,0.98,1.00
433,434,94.2455333,25.2571656,2.00,14.34,14.64,13.65,13.25,13.33,12.78,12.64,12.49,433.00,0.98,1.00
834,836,94.2455420,25.2571940,2.00,14.34,14.64,13.65,13.25,13.33,12.78,12.64,12.49,834.00,0.98,1.00
547,548,86.5069840,21.4407420,2.00,15.47,15.44,14.82,14.47,14.49,13.96,13.74,13.64,547.00,0.97,1.00
101,101,82.1322720,27.1962600,2.00,15.60,15.65,15.04,14.55,14.59,13.87,13.65,13.41,101.00,0.96,1.00
823,825,89.7255830,22.0500560,2.00,15.77,15.55,14.70,14.26,14.19,13.28,13.04,12.84,823.00,0.96,1.00
508,509,63.9361464,53.8322308,2.00,15.15,14.81,13.86,13.42,13.32,12.50,12.22,12.09,508.00,0.95,1.00
245,245,87.7316480,22.3268870,2.00,16.16,16.05,15.29,14.87,14.83,14.13,13.76,13.53,245.00,0.94,1.00
391,392,89.5867010,22.8794540,2.00,15.95,15.74,14.61,13.92,13.76,12.47,12.02,11.56,391.00,0.88,1.00
303,304,56.3685360,50.0572210,2.00,14.84,14.83,12.98,12.43,12.29,11.34,10.98,10.64,303.00,0.84,1.00
83,83,56.3685090,50.0572410,2.00,14.84,14.83,12.98,12.43,12.29,11.34,10.98,10.64,83.00,0.84,1.00
212,212,102.7985180,-0.3048420,2.00,13.76,14.00,13.17,12.81,12.79,12.30,12.18,12.13,212.00,0.80,0.00
53,53,92.0751400,22.4430440,2.00,15.28,14.73,13.86,13.50,13.21,12.06,11.56,11.35,53.00,0.73,1.00
500,501,56.4635930,49.8157530,2.00,15.25,14.40,13.02,12.61,12.42,11.53,11.29,11.12,500.00,0.70,1.00
565,566,92.5806700,23.7695300,2.00,13.60,13.32,12.68,12.50,12.53,12.06,12.01,11.95,565.00,0.68,1.00
366,367,92.5806708,23.7695306,2.00,13.60,13.32,12.68,12.50,12.53,12.06,12.01,11.95,366.00,0.68,1.00
271,271,55.0748733,49.3589739,2.00,13.65,12.97,12.91,12.62,12.63,12.27,12.01,11.91,271.00,0.66,1.00
154,154,92.7984680,23.5900420,2.00,13.47,13.41,12.72,12.50,12.51,12.04,11.99,11.92,154.00,0.65,0.00
509,510,92.9613600,25.4900700,2.00,13.54,12.15,12.02,11.39,11.63,11.40,11.29,11.16,509.00,0.64,1.00
179,179,90.7096240,23.9950560,2.00,16.82,16.17,14.94,14.37,14.12,12.92,12.60,12.25,179.00,0.56,1.00
954,956,88.4281560,21.8731480,2.00,14.64,14.76,14.41,14.03,14.09,13.52,13.37,13.27,954.00,0.51,1.00
88,88,59.8338790,50.9389220,2.00,14.77,14.10,13.05,12.61,12.43,11.53,11.33,11.17,88.00,0.49,0.00
621,623,83.7472080,28.1287780,2.00,15.22,15.08,14.36,14.01,13.87,13.11,12.82,12.66,621.00,0.45,1.00
153,153,92.9681070,23.7290660,2.00,13.38,12.59,12.10,11.45,11.59,11.29,11.23,11.15,153.00,0.44,1.00
501,502,99.3151260,10.0969340,2.00,14.50,13.80,12.77,12.53,12.43,11.82,11.66,11.63,501.00,0.44,0.00
1021,1023,310.3519100,37.5120220,2.00,16.18,15.48,14.31,13.91,13.60,12.19,11.84,11.60,1.021.00,0.39,0.00
174,174,90.1180830,22.9394220,2.00,16.62,15.96,14.49,13.78,13.43,12.40,12.00,11.80,174.00,0.39,1.00
98,98,59.5589310,52.1734320,2.00,14.15,14.86,12.91,11.97,11.78,10.89,10.80,10.65,98.00,0.38,1.00
977,979,59.5589590,52.1734050,2.00,14.15,14.86,12.91,11.97,11.78,10.89,10.80,10.65,977.00,0.38,1.00
632,634,93.2834010,23.8573190,2.00,23.71,18.13,13.21,13.01,12.94,12.25,12.17,12.18,632.00,0.38,0.00
107,107,83.8045800,29.9867580,2.00,15.73,15.34,14.21,13.64,13.41,12.54,12.24,12.10,107.00,0.37,1.00
221,221,307.8161506,45.4200264,2.00,13.30,15.09,12.91,11.76,11.81,10.49,10.24,10.01,221.00,0.35,1.00
666,668,59.8407956,52.6647547,2.00,11.08,11.18,12.63,11.29,11.21,10.36,10.28,10.27,666.00,0.34,0.00
437,438,101.8843800,12.0303210,2.00,13.85,14.15,13.71,13.56,13.58,13.28,13.18,13.11,437.00,0.33,0.00
