,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,Jmag_Hmag_Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,outlier_columns,DEJ2000,model_prob,Unnamed: 0,col1,LAMOST_sep,RAJ2000,original_index,Halpha
40,23.71,18.13,13.21,12.94,13.01,12.25,12.17,12.18,0.08849673202614368,3.2584415584415614,2.2717543859649147,2.9721495327102834,10.17157894736842,10.305607476635513,10.85766355140187,4.763684210526313,4.827476635514016,5.242009345794393,0.2896261682243005,Jmag_Hmag_Kmag,23.857319,0.38,634,632,2.0,93.283401,632.00,0.0
42,13.3,15.09,12.91,11.81,11.76,10.49,10.24,10.01,0.05457516339869248,-2.8186580086580078,-3.880760233918127,-3.486121495327102,-0.9480116959064315,-0.7277570093457939,1.4273831775700927,1.5431578947368423,1.647990654205607,3.2428504672897183,1.0859813084112144,Jmag_Hmag_Kmag,45.4200264,0.35,221,221,2.0,307.8161506,221.00,1.0
43,11.08,11.18,12.63,11.21,11.29,10.36,10.28,10.27,0.07150326797385646,0.5841991341991349,-0.08087719298245506,-0.043971962616822374,-3.277251461988304,-2.852429906542058,-0.02981308411215247,-2.2721052631578957,-2.0699065420560765,0.02943925233644619,1.4424299065420556,Jmag_Hmag_Kmag,52.6647547,0.34,668,666,2.0,59.8407956,666.00,0.0
76,10.98,10.13,12.87,11.1,11.35,9.06,9.16,9.08,-0.16797385620915,2.142900432900432,1.4683040935672502,1.4714018691588775,-4.042982456140349,-3.3673831775700913,0.19308411214953342,-3.764736842105261,-3.443177570093456,-0.784252336448597,1.8400934579439248,Jmag_Hmag_Kmag,51.13302,0.18,939,937,2.0,59.076031,937.00,0.0
89,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,0.023529411764707436,1.4876623376623392,0.8267251461988326,0.7577102803738334,-3.098888888888888,-2.7759813084112146,0.20738317757009217,-2.740000000000001,-2.5863084112149544,-0.3771495327102825,1.5059813084112144,Jmag_Hmag_Kmag,23.1526269,0.16,591,590,2.0,88.2362508,590.00,1.0
90,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,0.023529411764707436,1.4876623376623392,0.8267251461988326,0.7577102803738334,-3.098888888888888,-2.7759813084112146,0.20738317757009217,-2.740000000000001,-2.5863084112149544,-0.3771495327102825,1.5059813084112144,Jmag_Hmag_Kmag,23.152603,0.16,118,118,2.0,88.236244,118.00,1.0
96,18.05,16.05,14.27,13.26,13.84,11.53,10.74,10.46,0.5520915032679736,1.1600865800865796,0.22157894736842065,0.8743457943925232,2.551461988304095,3.3620560747663566,5.516355140186917,1.1952631578947381,1.5810747663551414,3.220934579439253,1.1726168224299063,Jmag_Hmag_Kmag,21.720676,0.14,248,248,2.0,89.938822,248.00,0.0
122,14.46,15.81,12.52,11.57,11.53,10.17,9.72,9.31,0.10163398692810383,-2.9024242424242424,-4.052690058479532,-3.53,0.7844444444444469,0.9777570093457957,2.8399065420560743,2.7400000000000015,2.8320093457943933,4.210280373831775,0.938785046728971,Jmag_Hmag_Kmag,59.036368,0.1,395,394,2.0,346.162464,394.00,1.0
129,20.28,17.36,15.13,13.79,14.61,11.66,10.64,10.33,0.7566013071895417,1.8677489177489202,0.6443859649122827,1.5192990654205627,3.5200584795321626,4.644579439252336,7.51691588785047,1.4542105263157872,1.9894392523364468,4.179252336448599,1.5699065420560765,Jmag_Hmag_Kmag,9.502543,0.09,74,74,2.0,100.55307,74.00,0.0
144,11.17,10.63,12.74,11.11,11.32,9.57,9.56,9.49,-0.04947712418300698,1.5356277056277046,0.8459649122807,0.89144859813084,-3.552690058479533,-2.9501869158878504,0.32299065420560896,-3.0536842105263156,-2.7669158878504665,-0.3239719626168205,1.6888785046728982,Jmag_Hmag_Kmag,51.008247,0.07,601,599,2.0,59.017563,599.00,0.0
163,14.13,11.8,13.06,12.72,12.88,12.12,11.99,11.91,0.06202614379084863,2.9245454545454543,2.9164327485380115,2.880093457943925,0.6564327485380123,0.8950467289719632,1.6103738317757013,-1.4568421052631575,-1.3432710280373827,-0.8011214953271026,0.38485981308411205,Jmag_Hmag_Kmag,57.556201,0.05,455,454,2.0,346.462287,454.00,0.0
195,14.38,15.89,12.68,11.91,11.88,10.9,10.58,10.26,0.04810457516339878,-3.0246753246753246,-4.046959064327485,-3.552476635514018,0.7633918128654988,0.9224299065420584,2.4324299065420574,2.764210526315791,2.839906542056076,3.9577102803738327,0.7615887850467288,Jmag_Hmag_Kmag,52.434199,0.04,84,84,2.0,59.058908,84.00,1.0
227,16.06,16.28,16.14,15.96,15.98,15.92,16.0,15.63,-0.3943790849673196,-0.28606060606060874,-0.42397660818713706,-0.37280373831775976,-0.29894736842105407,-0.23551401869159072,0.12504672897195995,0.03578947368421127,0.06598130841121548,0.3348598130841121,0.1856074766355136,Jmag_Hmag_Kmag,6.304176,0.0,27,27,2.0,104.22319,27.00,1.0
264,19.45,17.23,14.22,12.36,13.63,9.65,8.91,8.51,0.40013071895424834,0.7996969696969689,-0.8842690058479548,0.3863551401869154,2.9675438596491204,4.656542056074765,8.680467289719628,1.9331578947368413,2.737056074766355,5.8135981308411235,2.216074766355142,Jmag_Hmag_Kmag,40.542745,0.0,403,402,2.0,308.255134,402.00,0.0
