,Unnamed: 0,_RAJ2000_1,_DEJ2000_1,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,original_index,model_prob
112,112,88.47008100000002,22.429046,14.769,14.9,13.52,12.83,12.96,12.013,11.716,11.386,112,0.9998810146727349
104,104,97.036163,1.3953582,14.439,14.517999999999999,13.78,13.13,13.34,12.491,12.212,11.924,104,0.9998567065566448
545,546,64.458939,53.423931,14.407,14.29,13.33,12.54,12.74,11.808,11.481,11.187,545,0.9998132831632908
397,398,64.45893670000001,53.4239286,14.407,14.29,13.33,12.54,12.74,11.808,11.481,11.187,397,0.9998132831632908
555,556,62.83595,53.234539,14.064,13.995999999999999,12.83,12.1,12.34,11.789,11.513,11.247,555,0.9997709163129358
315,316,309.19739,34.196501700000006,15.057,14.726,13.83,13.12,13.32,12.537,12.245,12.024,315,0.9997138657003092
251,251,63.4037767,52.7429414,14.119000000000002,13.267000000000001,12.35,11.51,11.87,10.997,10.706,10.406,251,0.9996320103859191
160,160,63.40378000000001,52.742943,14.119000000000002,13.267000000000001,12.35,11.51,11.87,10.997,10.706,10.406,160,0.9996320103859191
409,410,88.85266700000003,22.910194,16.486,16.13,13.95,13.1,12.93,11.157,10.659,10.317,409,0.9994583984197739
163,163,66.01218100000001,54.39702800000001,14.203,13.864999999999998,12.8,12.31,12.32,11.544,11.339,11.128,163,0.9935425592204251
192,192,88.577333,22.903944,16.669,16.253000000000004,15.19,14.64,14.48,13.193,12.773,12.479,192,0.9901296796941303
495,496,80.210909,28.357143,16.058,15.706,14.63,14.23,14.22,13.462,13.242,13.018,495,0.9860272405868045
952,954,102.8430914,-0.2858156,15.046,15.123,14.62,14.06,14.17,13.439,13.151,12.976,952,0.9802491862259217
866,868,324.3077244,51.6485219,15.849,15.496999999999998,14.12,13.55,13.29,12.174,11.73,11.332,866,0.9787304710945739
433,434,94.2455333,25.2571656,14.344000000000001,14.642999999999999,13.65,13.25,13.33,12.782,12.636,12.489,433,0.9777702192373697
834,836,94.245542,25.257194,14.344000000000001,14.642999999999999,13.65,13.25,13.33,12.782,12.636,12.489,834,0.9777702192373697
547,548,86.506984,21.440742,15.474,15.439,14.82,14.47,14.49,13.964,13.738,13.644,547,0.9713913068234289
101,101,82.132272,27.19626,15.602,15.646,15.04,14.55,14.59,13.874,13.65,13.406,101,0.964212241484287
823,825,89.725583,22.050056,15.765,15.554,14.7,14.26,14.19,13.281,13.039,12.842,823,0.9604446666025832
508,509,63.93614640000001,53.8322308,15.153000000000002,14.809000000000001,13.86,13.42,13.32,12.495,12.215,12.088,508,0.9493872626505384
245,245,87.73164799999998,22.326887,16.159000000000002,16.047,15.29,14.87,14.83,14.134,13.759,13.527,245,0.9378088927494318
391,392,89.586701,22.879454,15.953,15.738,14.61,13.92,13.76,12.466,12.017,11.563,391,0.8780659102969267
303,304,56.368536,50.05722100000001,14.838,14.829999999999998,12.98,12.43,12.29,11.335,10.981,10.640999999999998,303,0.8360567585224782
83,83,56.368509,50.057241,14.838,14.829999999999998,12.98,12.43,12.29,11.335,10.981,10.640999999999998,83,0.8360567585224782
212,212,102.798518,-0.304842,13.758,13.998,13.17,12.81,12.79,12.295,12.183,12.129,212,0.7965321706552914
53,53,92.07514,22.443044,15.284,14.732000000000001,13.86,13.5,13.21,12.058,11.562,11.351,53,0.7313557182411012
500,501,56.463593,49.815753,15.247,14.404000000000002,13.02,12.61,12.42,11.527,11.29,11.117,500,0.7014003315043282
565,566,92.58067,23.76953,13.597999999999999,13.318,12.68,12.5,12.53,12.062,12.008,11.945,565,0.6786758981811934
366,367,92.5806708,23.7695306,13.597999999999999,13.318,12.68,12.5,12.53,12.062,12.008,11.945,366,0.6786758981811934
271,271,55.0748733,49.3589739,13.645,12.970999999999998,12.91,12.62,12.63,12.271,12.014,11.913,271,0.6555702931397095
154,154,92.798468,23.590042,13.468000000000002,13.413,12.72,12.5,12.51,12.044,11.989,11.92,154,0.6517662339107194
509,510,92.96136,25.490070000000006,13.535000000000002,12.152000000000001,12.02,11.39,11.63,11.396,11.286,11.156,509,0.6372988041322577
179,179,90.709624,23.995056,16.822,16.173000000000002,14.94,14.37,14.12,12.916,12.603,12.25,179,0.5606828514845751
954,956,88.428156,21.873148,14.64,14.759,14.41,14.03,14.09,13.515999999999998,13.37,13.265,954,0.5089219720363034
88,88,59.833879,50.938922,14.767999999999999,14.102,13.05,12.61,12.43,11.525,11.332,11.168,88,0.48701133084319254
621,623,83.747208,28.128778000000004,15.220999999999998,15.078,14.36,14.01,13.87,13.109000000000002,12.818,12.662,621,0.453801905057047
153,153,92.968107,23.729066,13.376,12.594000000000001,12.1,11.45,11.59,11.29,11.231,11.149,153,0.44291543856986704
501,502,99.315126,10.096934,14.500000000000002,13.796,12.77,12.53,12.43,11.822,11.664,11.63,501,0.43517547386629385
1021,1023,310.3519100000001,37.512022,16.178,15.476,14.31,13.91,13.6,12.192,11.835,11.602,1021,0.3914074210254257
174,174,90.118083,22.939422,16.624000000000002,15.959000000000001,14.49,13.78,13.43,12.396,12.003,11.798,174,0.38687030895926106
98,98,59.55893100000001,52.173432,14.150000000000002,14.864,12.91,11.97,11.78,10.885,10.800999999999998,10.645,98,0.3760009310248712
977,979,59.558959,52.173405,14.150000000000002,14.864,12.91,11.97,11.78,10.885,10.800999999999998,10.645,977,0.3760009310248712
632,634,93.283401,23.857319,23.711,18.127,13.21,13.01,12.94,12.252,12.17,12.179,632,0.3753589636825858
107,107,83.80458,29.986758,15.728000000000002,15.335999999999999,14.21,13.64,13.41,12.544,12.243,12.1,107,0.36739851985571503
221,221,307.8161506,45.4200264,13.298000000000002,15.089999999999998,12.91,11.76,11.81,10.491,10.237,10.005,221,0.3517547942288281
666,668,59.84079556,52.66475472,11.079,11.182,12.63,11.29,11.21,10.36,10.276,10.269,666,0.3360310589695007
437,438,101.88438,12.030321,13.847000000000001,14.149000000000001,13.71,13.56,13.58,13.282,13.183,13.109000000000002,437,0.3263038045384933
875,877,101.8843667,12.030337800000002,13.847000000000001,14.149000000000001,13.71,13.56,13.58,13.282,13.183,13.109000000000002,875,0.3263038045384933
601,603,92.3242417,23.5627889,12.898,12.226,12.01,11.76,11.87,11.478,11.436,11.384,601,0.3081640656978102
693,695,92.32424,23.56279,12.898,12.226,12.01,11.76,11.87,11.478,11.436,11.384,693,0.3081640656978102
791,793,92.324231,23.562838,12.898,12.226,12.01,11.76,11.87,11.478,11.436,11.384,791,0.3081640656978102
138,138,93.894115,23.420787,15.178999999999998,14.3,13.15,12.72,12.4,11.137,10.753,10.505999999999998,138,0.291856378304215
243,243,347.212451,58.838644,13.629000000000001,13.547,13.01,12.72,12.69,12.225,12.134,12.044,243,0.27483454397170953
829,831,85.50225,30.832389000000006,15.109000000000002,14.860999999999999,14.18,13.82,13.7,12.949000000000002,12.736,12.593,829,0.273128979161945
751,753,94.6054552,23.8328622,14.333,14.038,13.38,13.08,13.0,12.358,12.204,12.063,751,0.2678192606260984
648,650,306.8391144,41.7869019,15.270000000000005,14.880999999999998,13.48,13.0,12.66,11.323,10.977,10.799,648,0.25761383338584615
503,504,88.666375,32.050056,14.629000000000001,14.292,14.06,13.75,13.79,13.374,13.298,13.145,503,0.25509035200957264
343,344,92.5500792,23.5248889,14.88,14.837,14.56,14.42,14.42,13.861,13.748,13.652,343,0.23499463375389232
61,61,101.8337936,9.869269699999998,13.783,12.401,12.06,11.56,11.57,11.309,11.228,11.219,61,0.2178053329246105
780,782,59.82308489999999,50.4115965,14.418,13.052,12.58,12.02,11.92,11.311,11.196,11.125,780,0.21649991782817524
291,291,90.0966072,23.1843864,14.947000000000001,15.472999999999999,13.24,12.4,12.37,11.357,10.899,10.487,291,0.21648893879774675
125,125,90.096597,23.184375,14.947000000000001,15.472999999999999,13.24,12.4,12.37,11.357,10.899,10.487,125,0.21648893879774675
410,411,57.209205,48.889387,15.184,14.353,13.07,12.73,12.49,11.625,11.38,11.233,410,0.21099343117704925
258,258,63.3116411,53.0755397,13.082,13.059000000000001,12.52,12.1,12.07,11.61,11.533,11.47,258,0.20963313480616735
439,440,102.06487,11.615943,14.670000000000002,14.286,13.29,13.16,13.12,12.833,12.809,12.723,439,0.20829400161107614
